Action,MachineName,UserNameAndPID,TimeCreated
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/15/2019 11:44:52 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/15/2019 11:26:41 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/15/2019 6:13:09 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/15/2019 3:12:55 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/15/2019 2:10:29 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/15/2019 1:27:09 AM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/14/2019 10:39:53 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/14/2019 8:41:23 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/14/2019 6:59:14 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/14/2019 5:47:51 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/14/2019 9:04:21 AM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/14/2019 12:46:10 AM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 8:19:23 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 6:00:05 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 4:04:13 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 4:03:35 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 2:57:11 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 1:44:35 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 11:29:39 AM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 10:27:32 AM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/13/2019 10:00:50 AM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 11:37:51 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 5:03:26 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 4:56:45 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 2:00:52 PM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 1:48:22 PM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 8:54:23 AM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 2:12:58 AM
Logon,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/12/2019 12:32:52 AM
Logoff,DESKTOP-K6N5B97,"LuanPD              S-1-5-21-4077171772-2633157402-3608152534-1001  ",12/11/2019 11:03:12 PM
