Action,MachineName,UserNameAndPID,TimeCreated
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/27/2019 8:32:30 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/26/2019 10:51:50 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/26/2019 7:56:27 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/26/2019 5:14:22 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/26/2019 11:16:50 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/25/2019 11:25:38 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/25/2019 8:16:58 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/25/2019 4:52:15 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/25/2019 12:52:36 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/25/2019 10:50:39 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/25/2019 9:55:18 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/24/2019 11:38:42 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/24/2019 11:01:21 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/24/2019 9:21:30 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/24/2019 8:46:29 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/23/2019 11:19:15 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/23/2019 10:31:26 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/23/2019 9:04:36 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/23/2019 8:30:03 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/23/2019 7:17:21 PM
